"","id","date","pm25","pm10","o3","no2","so2","co"
"110",tianjin,"2020/3/18",122,106,NA,13,4,5
"111",tianjin,"2020/3/19",123,32,NA,7,1,1
"112",tianjin,"2020/3/20",45,74,NA,23,5,5
"113",tianjin,"2020/3/21",120,68,NA,19,6,6
"114",tianjin,"2020/3/22",103,41,NA,13,4,4
"115",tianjin,"2020/3/23",81,55,NA,19,6,7
"116",tianjin,"2020/3/24",117,53,NA,25,7,8
"117",tianjin,"2020/3/25",131,64,NA,29,8,8
"118",tianjin,"2020/3/26",157,41,NA,11,3,4
"119",tianjin,"2020/3/27",63,26,NA,6,1,1
"120",tianjin,"2020/3/28",30,34,NA,12,3,3
"121",tianjin,"2020/3/29",56,51,NA,21,6,6
"122",tianjin,"2020/3/30",119,55,NA,12,4,6
"123",tianjin,"2020/3/31",137,58,NA,14,3,4
"124",tianjin,"2020/4/1",142,42,NA,11,3,5
"125",tianjin,"2020/2/2",66,20,NA,9,2,5
"126",tianjin,"2020/2/3",83,27,NA,9,4,6
"127",tianjin,"2020/2/4",76,33,NA,14,5,10
"128",tianjin,"2020/2/5",86,24,NA,10,3,5
"129",tianjin,"2020/2/6",63,35,NA,10,4,5
"130",tianjin,"2020/2/7",84,87,NA,13,2,10
"131",tianjin,"2020/2/8",173,91,NA,13,3,11
"132",tianjin,"2020/2/9",161,100,NA,15,9,17
"133",tianjin,"2020/2/10",203,105,NA,25,6,20
"134",tianjin,"2020/2/11",225,80,NA,32,6,16
"135",tianjin,"2020/2/12",192,57,NA,24,9,13
"136",tianjin,"2020/2/13",173,NA,NA,18,7,12
"137",tianjin,"2020/2/14",176,62,NA,7,2,7
"138",tianjin,"2020/2/15",116,8,NA,5,2,2
"139",tianjin,"2020/2/16",44,9,NA,5,1,2
"140",tianjin,"2020/2/17",35,13,NA,7,2,3
"141",tianjin,"2020/2/18",45,44,NA,19,9,6
"142",tianjin,"2020/2/19",118,65,NA,25,3,12
"143",tianjin,"2020/2/20",172,NA,NA,16,3,9
"144",tianjin,"2020/2/21",169,88,NA,16,2,9
"145",tianjin,"2020/2/22",187,18,NA,8,2,2
"146",tianjin,"2020/2/23",51,63,NA,18,9,5
"147",tianjin,"2020/2/24",125,80,NA,26,6,11
"148",tianjin,"2020/2/25",169,46,NA,17,10,9
"149",tianjin,"2020/2/26",125,39,NA,18,7,6
"150",tianjin,"2020/2/27",86,23,NA,14,5,5
"151",tianjin,"2020/2/28",79,NA,NA,15,9,7
"152",tianjin,"2020/2/29",155,NA,NA,13,2,10
"153",tianjin,"2020/3/1",161,26,NA,12,2,8
"154",tianjin,"2020/1/2",147,74,NA,40,10,14
"155",tianjin,"2020/1/3",154,104,NA,49,16,22
"156",tianjin,"2020/1/4",191,112,NA,50,12,23
"157",tianjin,"2020/1/5",201,54,NA,34,6,13
"158",tianjin,"2020/1/6",132,60,NA,30,3,16
"159",tianjin,"2020/1/7",155,16,NA,23,3,13
"160",tianjin,"2020/1/8",106,22,NA,18,1,7
"161",tianjin,"2020/1/9",54,79,NA,35,4,13
"162",tianjin,"2020/1/10",164,59,NA,31,3,10
