beforevsafter,2019vs2020,pm25,pm10,o3,no2,so2,co
after,2020,96.725,50.5875, NaN,15.575,4.025316,5.9625
after,2020,72.075,44.725,38.5375,11.1875,7.95,6.1
after,2020,115.65,56.1,41.7125,13.9625,3.8375,7.3625
after,2020,99.025,51.05,40.875,12.2625,6.9125,5.425
after,2020,108.9,55.9375,39.5875,10.3625,11.925,8.8
after,2020,73.5,35.0375,25.4,6.425,3.341772,5.15
after,2020,118.525,73.525,40.9375,10.7375,15.75,6.05
after,2020,84.3375,40.5375,41.9125,9.25,6.9,11.8625
after,2020,78.125,36.5375,31.08219,18.7125,2.860759,6.575
after,2020,103.0375,54.3625,42.33333,21.45,3.35,6.7375
after,2020,97.575,49.5875,39.3125,16.975,3.225,5.2125
after,2020,118.625,69.2,38.8875,15.425,19.3875,7.9375
after,2020,126.2,80.2875,38.9625,18.2625,21.175,8.8125
after,2020,113.5375,57.675,42,17.525,7.1625,6.6625
after,2020,100.65,51.2125, NaN,19.2125,3.632911,7.475
after,2020,109.875,57.0375,39.6625,14.5375,8.95,6.85
after,2020,96.5875,40.2,45.3,15.4125,2.253165,4.975
after,2020,111.8625,51.6625, NaN,18.075,2.860759,5.775
after,2020,138.1125,82.7125,34.25,23.2875,12.6625,17.725
after,2020,113.6125,52.13333, NaN,14.9,4.175,6.594937
after,2020,123.775,48.275,38.275,14.4125,4.85,9.9625
after,2020,99.85,50.55, NaN,16.8125,3.1,7.075
after,2020,97.9375,41.725, NaN,4.9375,3.475,8.075
after,2020,131.4125,66.9125, NaN,17.9875,5.175,7.8125
after,2020,96.175,50.375, NaN,11.94937,3.6125,4.7375
after,2020,124.475,61.3125,40.225,14.375,4.7375,6.325
